VFID	VF category	multi_cat	vf_category0	vf_category1	vf_category2	vf_category3	vf_category0_subcat0	vf_category0_subcat1	vf_category0_subcat2	vf_category0_subcat3	vf_category0_subcat4	vf_category1_subcat0	vf_category1_subcat1	vf_category1_subcat2	vf_category1_subcat3	vf_category2_subcat0	vf_category2_subcat1	vf_category2_subcat2	vf_category3_subcat0	vf_category3_subcat1
VF0739	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Heme uptake system; Gram+ heme efflux system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Heme uptake system; Gram+ heme efflux system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Heme uptake system	 Gram+ heme efflux system									
VF0740	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Siderophore uptake system										
VF0741	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system; Siderophore-mediated iron transport system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system; Siderophore-mediated iron transport system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Siderophore uptake system	 Siderophore-mediated iron transport system									
VF0742	Regulation	false	Regulation				Regulation													
VF0743	Exotoxin; Membrane-acting toxin; Phospholipase	false	Exotoxin; Membrane-acting toxin; Phospholipase				Exotoxin	 Membrane-acting toxin	 Phospholipase											
VF0744	Adherence; Fimbrial adhesin; Gram positive sortase anchoring pili	false	Adherence; Fimbrial adhesin; Gram positive sortase anchoring pili				Adherence	 Fimbrial adhesin	 Gram positive sortase anchoring pili											
VF0745	Adherence; Fimbrial adhesin; Gram positive sortase anchoring pili	false	Adherence; Fimbrial adhesin; Gram positive sortase anchoring pili				Adherence	 Fimbrial adhesin	 Gram positive sortase anchoring pili											
VF0746	Adherence; Fimbrial adhesin; Gram positive sortase anchoring pili	false	Adherence; Fimbrial adhesin; Gram positive sortase anchoring pili				Adherence	 Fimbrial adhesin	 Gram positive sortase anchoring pili											
VF0747	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0748	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0749	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0750	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0751	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0753	Adherence; Fimbrial adhesin; Type IV pili; Type IVa pili (T4aP)	false	Adherence; Fimbrial adhesin; Type IV pili; Type IVa pili (T4aP)				Adherence	 Fimbrial adhesin	 Type IV pili	 Type IVa pili (T4aP)										
VF0754	Adherence; Fimbrial adhesin; Type IV pili; Type IVc (T4cP) (Tad-type pili)	false	Adherence; Fimbrial adhesin; Type IV pili; Type IVc (T4cP) (Tad-type pili)				Adherence	 Fimbrial adhesin	 Type IV pili	 Type IVc (T4cP) (Tad-type pili)										
VF0755	Immune modulation; Antiphagocytosis	false	Immune modulation; Antiphagocytosis				Immune modulation	 Antiphagocytosis												
VF0756	Exotoxin; Intracellularly active toxin; DNase/Genotoxin	false	Exotoxin; Intracellularly active toxin; DNase/Genotoxin				Exotoxin	 Intracellularly active toxin	 DNase/Genotoxin											
VF0757	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT)	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT)				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)											
VF0758	Nutritional/Metabolic factor	false	Nutritional/Metabolic factor				Nutritional/Metabolic factor													
VF0759	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0760	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0761	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0763	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Two-partner secretion (type Vb)	false	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Two-partner secretion (type Vb)				Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Two-partner secretion (type Vb)											
VF0764	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Two-partner secretion (type Vb)	false	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Two-partner secretion (type Vb)				Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Two-partner secretion (type Vb)											
VF0766	Adherence; Non-fimbrial adhesin; Autotransporter adhesin	false	Adherence; Non-fimbrial adhesin; Autotransporter adhesin				Adherence	 Non-fimbrial adhesin	 Autotransporter adhesin											
VF0768	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0769	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0770	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0771	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0772	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0773	Exotoxin; Intracellularly active toxin; DNase/Genotoxin	false	Exotoxin; Intracellularly active toxin; DNase/Genotoxin				Exotoxin	 Intracellularly active toxin	 DNase/Genotoxin											
VF0780	Effector delivery system; Type IV secretion system (T4SS); Type IVA (T4ASS) components	false	Effector delivery system; Type IV secretion system (T4SS); Type IVA (T4ASS) components				Effector delivery system	 Type IV secretion system (T4SS)	 Type IVA (T4ASS) components											
VF0781	Effector delivery system; Type IV secretion system (T4SS); Type IVA (T4ASS) components	false	Effector delivery system; Type IV secretion system (T4SS); Type IVA (T4ASS) components				Effector delivery system	 Type IV secretion system (T4SS)	 Type IVA (T4ASS) components											
VF0783	Effector delivery system; Type VI secretion system (T6SS); T6SS components	false	Effector delivery system; Type VI secretion system (T6SS); T6SS components				Effector delivery system	 Type VI secretion system (T6SS)	 T6SS components											
VF0784	Effector delivery system; Type VI secretion system (T6SS); T6SS components	false	Effector delivery system; Type VI secretion system (T6SS); T6SS components				Effector delivery system	 Type VI secretion system (T6SS)	 T6SS components											
VF0785	Effector delivery system; Type II secretion system (T2SS)	false	Effector delivery system; Type II secretion system (T2SS)				Effector delivery system	 Type II secretion system (T2SS)												
VF0786	Nutritional/Metabolic factor; Metabolic adaptation; Amino acid uptake	false	Nutritional/Metabolic factor; Metabolic adaptation; Amino acid uptake				Nutritional/Metabolic factor	 Metabolic adaptation	 Amino acid uptake											
VF0787	Post-translational modification	false	Post-translational modification				Post-translational modification													
VF0788	Post-translational modification	false	Post-translational modification				Post-translational modification													
VF0789	Post-translational modification	false	Post-translational modification				Post-translational modification													
VF0790	Post-translational modification	false	Post-translational modification				Post-translational modification													
VF0791	Regulation	false	Regulation				Regulation													
VF0792	Regulation	false	Regulation				Regulation													
VF0793	Regulation	false	Regulation				Regulation													
VF0794	Regulation	false	Regulation				Regulation													
VF0795	Post-translational modification	false	Post-translational modification				Post-translational modification													
VF0796	Motility; Flagella-mediated motility; Flagella assembly	false	Motility; Flagella-mediated motility; Flagella assembly				Motility	 Flagella-mediated motility	 Flagella assembly											
VF0798	Effector delivery system; Type IV secretion system (T4SS); T4SS effectors	false	Effector delivery system; Type IV secretion system (T4SS); T4SS effectors				Effector delivery system	 Type IV secretion system (T4SS)	 T4SS effectors											
VF0799	Effector delivery system; Type IV secretion system (T4SS); Type IVA (T4ASS) components	false	Effector delivery system; Type IV secretion system (T4SS); Type IVA (T4ASS) components				Effector delivery system	 Type IV secretion system (T4SS)	 Type IVA (T4ASS) components											
VF0800	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0801	Exotoxin; Membrane-acting toxin; Phospholipase	false	Exotoxin; Membrane-acting toxin; Phospholipase				Exotoxin	 Membrane-acting toxin	 Phospholipase											
VF0802	Others	false	Others				Others													
VF0803	Immune modulation; Inflammatory signaling pathway	false	Immune modulation; Inflammatory signaling pathway				Immune modulation	 Inflammatory signaling pathway												
VF0805	Immune modulation	false	Immune modulation				Immune modulation													
VF0806	Immune modulation	false	Immune modulation				Immune modulation													
VF0807	Antimicrobial activity/Competitive advantage	false	Antimicrobial activity/Competitive advantage				Antimicrobial activity/Competitive advantage													
VF0808	Others	false	Others				Others													
VF0809	Nutritional/Metabolic factor; Metabolic adaptation	false	Nutritional/Metabolic factor; Metabolic adaptation				Nutritional/Metabolic factor	 Metabolic adaptation												
VF0810	Immune modulation	false	Immune modulation				Immune modulation													
VF0811	Nutritional/Metabolic factor	false	Nutritional/Metabolic factor				Nutritional/Metabolic factor													
VF0812	Nutritional/Metabolic factor	false	Nutritional/Metabolic factor				Nutritional/Metabolic factor													
VF0813	Nutritional/Metabolic factor	false	Nutritional/Metabolic factor				Nutritional/Metabolic factor													
VF0814	Nutritional/Metabolic factor	false	Nutritional/Metabolic factor				Nutritional/Metabolic factor													
VF0815	Nutritional/Metabolic factor	false	Nutritional/Metabolic factor				Nutritional/Metabolic factor													
VF0816	Nutritional/Metabolic factor; Metabolic adaptation	false	Nutritional/Metabolic factor; Metabolic adaptation				Nutritional/Metabolic factor	 Metabolic adaptation												
VF0817	Exotoxin	false	Exotoxin				Exotoxin													
VF0818	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Ton system/ABC transporter system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Ton system/ABC transporter system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Ton system/ABC transporter system										
VF0819	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Siderophore uptake system										
VF0820	Nutritional/Metabolic factor; Metabolic adaptation	false	Nutritional/Metabolic factor; Metabolic adaptation				Nutritional/Metabolic factor	 Metabolic adaptation												
VF0821	Nutritional/Metabolic factor; Metabolic adaptation	false	Nutritional/Metabolic factor; Metabolic adaptation				Nutritional/Metabolic factor	 Metabolic adaptation												
VF0822	Regulation	false	Regulation				Regulation													
VF0823	Regulation	false	Regulation				Regulation													
VF0824	Nutritional/Metabolic factor; Metabolic adaptation; Fatty acid import	false	Nutritional/Metabolic factor; Metabolic adaptation; Fatty acid import				Nutritional/Metabolic factor	 Metabolic adaptation	 Fatty acid import											
VF0825	Immune modulation	false	Immune modulation				Immune modulation													
VF0826	Immune modulation	false	Immune modulation				Immune modulation													
VF0827	Immune modulation	false	Immune modulation				Immune modulation													
VF0828	Others	false	Others				Others													
VF0829	Others	false	Others				Others													
VF0830	Others	false	Others				Others													
VF0831	Others	false	Others				Others													
VF0832	Others	false	Others				Others													
VF0833	Immune modulation; Apoptosis	false	Immune modulation; Apoptosis				Immune modulation	 Apoptosis												
VF0834	Effector delivery system; Type VII secretion system (T7SS); T7SSa components	false	Effector delivery system; Type VII secretion system (T7SS); T7SSa components				Effector delivery system	 Type VII secretion system (T7SS)	 T7SSa components											
VF0836	Effector delivery system; Type VII secretion system (T7SS); T7SSa components	false	Effector delivery system; Type VII secretion system (T7SS); T7SSa components				Effector delivery system	 Type VII secretion system (T7SS)	 T7SSa components											
VF0837	Immune modulation	false	Immune modulation				Immune modulation													
VF0838	Immune modulation; Phagosomal maturation	false	Immune modulation; Phagosomal maturation				Immune modulation	 Phagosomal maturation												
VF0839	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); Lipase/Esterase	false	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); Lipase/Esterase				Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Classical autotransporter (type Va)	 Lipase/Esterase										
VF0840	Immune modulation	false	Immune modulation				Immune modulation													
VF0841	Immune modulation	false	Immune modulation				Immune modulation													
VF0842	Nutritional/Metabolic factor; Metabolic adaptation; Carbohydrate uptake	false	Nutritional/Metabolic factor; Metabolic adaptation; Carbohydrate uptake				Nutritional/Metabolic factor	 Metabolic adaptation	 Carbohydrate uptake											
VF0843	Nutritional/Metabolic factor; Metabolic adaptation	false	Nutritional/Metabolic factor; Metabolic adaptation				Nutritional/Metabolic factor	 Metabolic adaptation												
VF0844	Nutritional/Metabolic factor; Metabolic adaptation	false	Nutritional/Metabolic factor; Metabolic adaptation				Nutritional/Metabolic factor	 Metabolic adaptation												
VF0845	Nutritional/Metabolic factor; Metabolic adaptation	false	Nutritional/Metabolic factor; Metabolic adaptation				Nutritional/Metabolic factor	 Metabolic adaptation												
VF0846	Exoenzyme; Protease	false	Exoenzyme; Protease				Exoenzyme	 Protease												
VF0847	Stress survival	false	Stress survival				Stress survival													
VF0848	Nutritional/Metabolic factor; Metal uptake; Manganese uptake	false	Nutritional/Metabolic factor; Metal uptake; Manganese uptake				Nutritional/Metabolic factor	 Metal uptake	 Manganese uptake											
VF0849	Nutritional/Metabolic factor; Metal uptake; Copper uptake	false	Nutritional/Metabolic factor; Metal uptake; Copper uptake				Nutritional/Metabolic factor	 Metal uptake	 Copper uptake											
VF0850	Stress survival	false	Stress survival				Stress survival													
VF0851	Immune modulation	false	Immune modulation				Immune modulation													
VF0852	Immune modulation	false	Immune modulation				Immune modulation													
VF0853	Effector delivery system; Type III secretion system (T3SS); T3SS effectors	false	Effector delivery system; Type III secretion system (T3SS); T3SS effectors				Effector delivery system	 Type III secretion system (T3SS)	 T3SS effectors											
VF0854	Regulation	false	Regulation				Regulation													
VF0855	Regulation	false	Regulation				Regulation													
VF0856	Regulation	false	Regulation				Regulation													
VF0857	Regulation	false	Regulation				Regulation													
VF0858	Regulation	false	Regulation				Regulation													
VF0859	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Heme uptake system; Gram- hemophore-dependent	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Heme uptake system; Gram- hemophore-dependent				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Heme uptake system	 Gram- hemophore-dependent									
VF0862	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF0863	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF0864	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF0865	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF0866	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF0867	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF0868	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0869	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0870	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0871	Invasion	false	Invasion				Invasion													
VF0872	Invasion	false	Invasion				Invasion													
VF0873	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0874	Invasion	false	Invasion				Invasion													
VF0876	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0877	Adherence; Non-fimbrial adhesin; Cell wall anchored protein | Immune modulation; Complement evasion/Serum resistance	true	Adherence; Non-fimbrial adhesin; Cell wall anchored protein 	 Immune modulation; Complement evasion/Serum resistance			Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein 			 Immune modulation	 Complement evasion/Serum resistance							
VF0878	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0879	Exotoxin	false	Exotoxin				Exotoxin													
VF0880	Exoenzyme; Nuclease	false	Exoenzyme; Nuclease				Exoenzyme	 Nuclease												
VF0881	Immune modulation; Antiphagocytosis	false	Immune modulation; Antiphagocytosis				Immune modulation	 Antiphagocytosis												
VF0882	Immune modulation; Apoptosis	false	Immune modulation; Apoptosis				Immune modulation	 Apoptosis												
VF0883	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0884	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0885	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0886	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0887	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0888	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0889	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0890	Exotoxin; Intracellularly active toxin; ADP-ribosyltransferase (ADPRT)	false	Exotoxin; Intracellularly active toxin; ADP-ribosyltransferase (ADPRT)				Exotoxin	 Intracellularly active toxin	 ADP-ribosyltransferase (ADPRT)											
VF0891	Exotoxin; Membrane-acting toxin; Superantigen	false	Exotoxin; Membrane-acting toxin; Superantigen				Exotoxin	 Membrane-acting toxin	 Superantigen											
VF0892	Post-translational modification	false	Post-translational modification				Post-translational modification													
VF0893	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); SPATE-like	false	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); SPATE-like				Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Classical autotransporter (type Va)	 SPATE-like										
VF0894	Adherence; Non-fimbrial adhesin; Autotransporter adhesin | Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Trimeric autotransporter (type Vc)	true	Adherence; Non-fimbrial adhesin; Autotransporter adhesin 	 Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Trimeric autotransporter (type Vc)			Adherence	 Non-fimbrial adhesin	 Autotransporter adhesin 			 Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Trimeric autotransporter (type Vc)						
VF0895	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Ton system/ABC transporter system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Ton system/ABC transporter system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Ton system/ABC transporter system										
VF0896	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Transferrin/Lactoferrin binding	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Transferrin/Lactoferrin binding				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Transferrin/Lactoferrin binding										
VF0897	Adherence; Non-fimbrial adhesin; RTX adhesin	false	Adherence; Non-fimbrial adhesin; RTX adhesin				Adherence	 Non-fimbrial adhesin	 RTX adhesin											
VF0898	Exotoxin; Intracellularly active toxin; ADP-ribosyltransferase (ADPRT)	false	Exotoxin; Intracellularly active toxin; ADP-ribosyltransferase (ADPRT)				Exotoxin	 Intracellularly active toxin	 ADP-ribosyltransferase (ADPRT)											
VF0899	Post-translational modification	false	Post-translational modification				Post-translational modification													
VF0900	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); SPATE-like	false	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); SPATE-like				Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Classical autotransporter (type Va)	 SPATE-like										
VF0902	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); Non-SPATE	false	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); Non-SPATE				Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Classical autotransporter (type Va)	 Non-SPATE										
VF0903	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Two-partner secretion (type Vb)	false	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Two-partner secretion (type Vb)				Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Two-partner secretion (type Vb)											
VF0904	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Trimeric autotransporter (type Vc)	false	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Trimeric autotransporter (type Vc)				Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Trimeric autotransporter (type Vc)											
VF0906	Biofilm; Quorum sensing	false	Biofilm; Quorum sensing				Biofilm	 Quorum sensing												
VF0907	Biofilm; Quorum sensing	false	Biofilm; Quorum sensing				Biofilm	 Quorum sensing												
VF0908	Regulation	false	Regulation				Regulation													
VF0909	Effector delivery system; Type III secretion system (T3SS)	false	Effector delivery system; Type III secretion system (T3SS)				Effector delivery system	 Type III secretion system (T3SS)												
VF0910	Effector delivery system; Type III secretion system (T3SS)	false	Effector delivery system; Type III secretion system (T3SS)				Effector delivery system	 Type III secretion system (T3SS)												
VF0911	Effector delivery system; Type III secretion system (T3SS); T3SS effectors	false	Effector delivery system; Type III secretion system (T3SS); T3SS effectors				Effector delivery system	 Type III secretion system (T3SS)	 T3SS effectors											
VF0912	Exoenzyme; Protease	false	Exoenzyme; Protease				Exoenzyme	 Protease												
VF0913	Exotoxin; Membrane-acting toxin; Phospholipase	false	Exotoxin; Membrane-acting toxin; Phospholipase				Exotoxin	 Membrane-acting toxin	 Phospholipase											
VF0914	Exotoxin; Membrane-acting toxin; Phospholipase	false	Exotoxin; Membrane-acting toxin; Phospholipase				Exotoxin	 Membrane-acting toxin	 Phospholipase											
VF0915	Effector delivery system; Type VI secretion system (T6SS); T6SS effectors	false	Effector delivery system; Type VI secretion system (T6SS); T6SS effectors				Effector delivery system	 Type VI secretion system (T6SS)	 T6SS effectors											
VF0916	Exotoxin	false	Exotoxin				Exotoxin													
VF0917	Exotoxin	false	Exotoxin				Exotoxin													
VF0918	Exotoxin	false	Exotoxin				Exotoxin													
VF0919	Exotoxin	false	Exotoxin				Exotoxin													
VF0920	Antimicrobial activity/Competitive advantage	false	Antimicrobial activity/Competitive advantage				Antimicrobial activity/Competitive advantage													
VF0921	Exotoxin	false	Exotoxin				Exotoxin													
VF0922	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Siderophore uptake system										
VF0923	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Siderophore uptake system										
VF0924	Biofilm; Biofilm formation	false	Biofilm; Biofilm formation				Biofilm	 Biofilm formation												
VF0925	Biofilm; Biofilm formation	false	Biofilm; Biofilm formation				Biofilm	 Biofilm formation												
VF0926	Biofilm; Biofilm formation	false	Biofilm; Biofilm formation				Biofilm	 Biofilm formation												
VF0927	Biofilm; Biofilm formation	false	Biofilm; Biofilm formation				Biofilm	 Biofilm formation												
VF0928	Adherence; Fimbrial adhesin; Type IV pili; Type IVa pili (T4aP)	false	Adherence; Fimbrial adhesin; Type IV pili; Type IVa pili (T4aP)				Adherence	 Fimbrial adhesin	 Type IV pili	 Type IVa pili (T4aP)										
VF0929	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0930	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0931	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0932	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0933	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0934	Biofilm; Biofilm formation	false	Biofilm; Biofilm formation				Biofilm	 Biofilm formation												
VF0936	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Siderophore uptake system										
VF0937	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Siderophore uptake system										
